priority,folder,asset_type,asset_name,source_url,license_type,download_date,status,intended_use,import_decision,notes
1,skywave-next-js-it-solution-technology-template-2025-10-11-10-27-14-utc,Next.js public theme,Skywave - Next.js IT Solution Technology Template,https://elements.envato.com/skywave-next-js-it-solution-technology-template-X2MW2L3,Envato Elements,2026-07-15,blocked,Public website visual foundation,rejected for now,Extract contains config and lock files but no usable app/src/public tree in this local copy
2,dashtrans-next-js-16-shadcn-ui-admin-dashboard-2026-07-08-07-23-56-utc,Admin dashboard template,Dashtrans - Next.js 16 & ShadCN UI Admin Dashboard,https://elements.envato.com/dashtrans-next-js-16-shadcn-ui-admin-dashboard-WJAUPHJ,Envato Elements,2026-07-15,accepted,Private owner dashboard reference,reference import later,Good source tree with Next 16 ShadCN Tailwind v4 charts tables and layout patterns
3,cybal-cyber-security-next-js-template-2026-04-13-05-17-15-utc,Cybersecurity public template,Cybal - Cyber Security Next js Template,https://elements.envato.com/cybal-cyber-security-next-js-template-PYXHN2Q,Envato Elements,2026-07-15,accepted,Public security visuals and service page reference,partial imported,Imported selected cyber/service imagery into public/brand/envato/cyber
4,tecch-technology-it-solutions-next-js-template-2026-04-13-05-17-15-utc,IT services public template,Tecch - Technology & IT Solutions Next js Template,https://elements.envato.com/tecch-technology-it-solutions-next-js-template-FLH8DXZ,Envato Elements,2026-07-15,reference,Service architecture and content layout reference,reference only,Useful for page structure but local image assets are limited and Bootstrap-heavy
5,cloud-network-outline-icon-set-2026-02-24-01-20-45-utc,Icon pack,Cloud Network Outline Icon Set,https://elements.envato.com/cloud-network-outline-icon-set-T7KTZ2N,Envato Elements,2026-07-15,accepted,Service icons and diagrams,partial imported,Imported seven clean SVG icons into public/brand/envato/icons
6,cloud-computing-icons-data-storage-networking-2026-07-01-19-24-53-utc,Icon pack,Cloud Computing Icons - Data Storage & Networking,https://elements.envato.com/cloud-computing-icons-data-storage-networking-DUSY7M2,Envato Elements,2026-07-15,reference,Secondary icon source and lead magnet illustrations,hold,Large 50 icon set with SVG PNG EPS PSD; keep as backup to avoid mixed icon styles
7,network-and-cloud-computing-flat-icons-2026-02-24-01-18-35-utc,Icon pack,Network and Cloud Computing Flat Icons,https://elements.envato.com/network-and-cloud-computing-flat-icons-KG2GYKU,Envato Elements,2026-07-15,reference,Social graphics and secondary illustrations,hold,Useful PNG sizes but flatter style conflicts with the primary outline system
8,abstract-representation-of-a-network-2026-02-08-23-44-54-utc,3D model,Abstract Representation of a Network,https://elements.envato.com/abstract-representation-of-a-network-U9HU8VA,Envato Elements,2026-07-15,accepted,Future 3D hero or service render,defer,Contains GLB FBX OBJ BLEND; do not publish raw source models directly
9,a-wi-fi-router-with-a-distinctive-design-2026-02-08-23-42-53-utc,3D model,A Wi-Fi Router With a Distinctive Design,https://elements.envato.com/a-wi-fi-router-with-a-distinctive-design-8UXB56Y,Envato Elements,2026-07-15,accepted,Managed Wi-Fi/LAN visual,defer,Contains GLB FBX OBJ BLEND; render or optimize before web use
10,folder-with-combination-lock-2026-02-09-00-46-02-utc,3D model,Folder With Combination Lock,https://elements.envato.com/folder-with-combination-lock-J78HBP3,Envato Elements,2026-07-15,accepted,Security/data protection visual,defer,Contains GLB FBX OBJ BLEND; render or optimize before web use
11,dynamic-cybersecurity-social-media-reels-for-compa-2026-02-06-03-33-14-utc,Social video template,Dynamic Cybersecurity Social Media Reels,https://elements.envato.com/social-media-reels-cyber-security-company-profile--XVX8XR6,Envato Elements,2026-07-15,accepted,LinkedIn Reels Shorts and retargeting creatives,defer,Useful for social launch after website positioning is finalized
12,dashcode-next-tailwind-next-js-admin-dashboard-2025-04-24-19-04-12-utc,Admin dashboard template,Dashcode Next - Tailwind & Next.js Admin Dashboard,https://elements.envato.com/dashcode-next-tailwind-next-js-admin-dashboard-UMHWSTJ,Envato Elements,2026-07-15,reference,Backup dashboard feature reference,hold,Use only for missing dashboard patterns after Dashtrans
13,jampack-robust-next-js-saas-app-template-2025-12-24-08-53-01-utc,SaaS app template,Jampack - Robust Next.js SaaS App Template,https://elements.envato.com/jampack-robust-next-js-saas-app-template-RCHAF9X,Envato Elements,2026-07-15,reference,SaaS workflow and app pattern reference,hold,Review later for billing onboarding and app-shell ideas
14,techmin-next-js-admin-dashboard-template-2025-04-14-09-47-09-utc,Admin dashboard template,Techmin - Next.Js Admin & Dashboard Template,https://elements.envato.com/techmin-next-js-admin-dashboard-template-NT6QTWK,Envato Elements,2026-07-15,reference,Large admin component reference,hold,Bootstrap-heavy; avoid as primary architecture
15,wowdash-tailwind-nextjs-admin-dashboard-shadcn-2026-07-12-17-11-04-utc,Admin dashboard template,WowDash Tailwind Nextjs Admin Dashboard Shadcn,https://elements.envato.com/wowdash-tailwind-nextjs-admin-dashboard-shadcn-DQRX7RW,Envato Elements,2026-07-15,reference,Admin UI inspiration,hold,Use only if a specific component is better than Dashtrans
16,data-center-network-with-analytics-displays-2026-02-24-01-43-30-utc,Infrastructure illustration,Isometric Data Center Network with Analytics Displays,pending-local-envato-registration,Envato Elements,2026-07-17,accepted,Home page network command topology visual,imported,Imported SVG into public/brand/envato/illustrations after scan; exact Elements URL should be confirmed from license record
17,cyber-security-3d-icons-2026-03-27-00-08-52-utc,3D icon pack,Cyber Security 3D Icons,pending-local-envato-registration,Envato Elements,2026-07-17,accepted,Home page service signal objects,imported,Imported selected server shield VPN and locked-folder PNGs into public/brand/envato/objects
